periodo,tipo_indicador,nombre,valor_promedio,valor_min,valor_max,valor_std
2015-01,financieros,Activos Improductivos / Patrimonio Neto,2.77,2.77,2.77,
2015-01,financieros,Activos Netos Totales / Patrimonio Neto,10.31,10.31,10.31,
2015-01,financieros,Margen de Intermediación Neto,9.64,9.64,9.64,
2015-01,financieros,Spread de Tasas de Interés,11.56117933607355,11.56117933607355,11.56117933607355,
2015-01,morosidad,Morosidad Estresada,2.690510491138622,0.0,10.521597092029591,2.3103915841847193
2015-01,morosidad,Morosidad Simple,1.85,1.85,1.85,
2015-01,principales,ROA,2.0,2.0,2.0,
2015-01,principales,ROE (Rentabilidad del Patrimonio),20.71,20.71,20.71,
2015-01,principales,Índice Solvencia,16.77,16.77,16.77,
2015-02,financieros,Activos Improductivos / Patrimonio Neto,2.74,2.74,2.74,
2015-02,financieros,Activos Netos Totales / Patrimonio Neto,10.17,10.17,10.17,
2015-02,financieros,Margen de Intermediación Neto,9.45,9.45,9.45,
2015-02,financieros,Spread de Tasas de Interés,11.652224556204251,11.652224556204251,11.652224556204251,
2015-02,morosidad,Morosidad Estresada,2.7966284376633483,0.0,11.144315042590069,2.4882348455795023
2015-02,morosidad,Morosidad Simple,1.8,1.8,1.8,
2015-02,principales,ROA,1.94,1.94,1.94,
2015-02,principales,ROE (Rentabilidad del Patrimonio),20.29,20.29,20.29,
2015-02,principales,Índice Solvencia,16.42,16.42,16.42,
2015-03,financieros,Activos Improductivos / Patrimonio Neto,2.7,2.7,2.7,
2015-03,financieros,Activos Netos Totales / Patrimonio Neto,10.54,10.54,10.54,
2015-03,financieros,Margen de Intermediación Neto,9.5,9.5,9.5,
2015-03,financieros,Spread de Tasas de Interés,11.703972046126339,11.703972046126339,11.703972046126339,
2015-03,morosidad,Morosidad Estresada,2.265368056183537,0.0,5.717596174919525,1.4252277807952807
2015-03,morosidad,Morosidad Simple,1.69,1.69,1.69,
2015-03,principales,ROA,1.98,1.98,1.98,
2015-03,principales,ROE (Rentabilidad del Patrimonio),20.64,20.64,20.64,
2015-03,principales,Índice Solvencia,17.05,17.05,17.05,
2015-04,financieros,Activos Improductivos / Patrimonio Neto,2.82,2.82,2.82,
2015-04,financieros,Activos Netos Totales / Patrimonio Neto,10.75,10.75,10.75,
2015-04,financieros,Margen de Intermediación Neto,9.53,9.53,9.53,
2015-04,financieros,Spread de Tasas de Interés,11.779407660370381,11.779407660370381,11.779407660370381,
2015-04,morosidad,Morosidad Estresada,2.039611995588581,0.0,5.096030830770829,1.2570949295125766
2015-04,morosidad,Morosidad Simple,1.71,1.71,1.71,
2015-04,principales,ROA,1.97,1.97,1.97,
2015-04,principales,ROE (Rentabilidad del Patrimonio),20.91,20.91,20.91,
2015-04,principales,Índice Solvencia,17.38,17.38,17.38,
2015-05,financieros,Activos Improductivos / Patrimonio Neto,3.01,3.01,3.01,
2015-05,financieros,Activos Netos Totales / Patrimonio Neto,10.86,10.86,10.86,
2015-05,financieros,Margen de Intermediación Neto,9.66,9.66,9.66,
2015-05,financieros,Spread de Tasas de Interés,12.004061670716736,12.004061670716736,12.004061670716736,
2015-05,morosidad,Morosidad Estresada,2.2158264736262434,0.0,5.592788906998848,1.3743736848420849
2015-05,morosidad,Morosidad Simple,1.83,1.83,1.83,
2015-05,principales,ROA,1.99,1.99,1.99,
2015-05,principales,ROE (Rentabilidad del Patrimonio),21.33,21.33,21.33,
2015-05,principales,Índice Solvencia,16.97,16.97,16.97,
2015-06,financieros,Activos Improductivos / Patrimonio Neto,2.77,2.77,2.77,
2015-06,financieros,Activos Netos Totales / Patrimonio Neto,10.34,10.34,10.34,
2015-06,financieros,Margen de Intermediación Neto,9.73,9.73,9.73,
2015-06,financieros,Spread de Tasas de Interés,11.833708681538122,11.833708681538122,11.833708681538122,
2015-06,morosidad,Morosidad Estresada,4.041961024926532,0.0,13.773357388141916,2.9071212307518057
2015-06,morosidad,Morosidad Simple,1.8,1.8,1.8,
2015-06,principales,ROA,2.0,2.0,2.0,
2015-06,principales,ROE (Rentabilidad del Patrimonio),21.49,21.49,21.49,
2015-06,principales,Índice Solvencia,17.22,17.22,17.22,
2015-07,financieros,Activos Improductivos / Patrimonio Neto,2.66,2.66,2.66,
2015-07,financieros,Activos Netos Totales / Patrimonio Neto,10.17,10.17,10.17,
2015-07,financieros,Margen de Intermediación Neto,9.78,9.78,9.78,
2015-07,financieros,Spread de Tasas de Interés,11.770351345476866,11.770351345476866,11.770351345476866,
2015-07,morosidad,Morosidad Estresada,3.8128327195539415,0.6559486146812781,13.677933901047174,2.916280789089732
2015-07,morosidad,Morosidad Simple,1.82,1.82,1.82,
2015-07,principales,ROA,1.99,1.99,1.99,
2015-07,principales,ROE (Rentabilidad del Patrimonio),21.24,21.24,21.24,
2015-07,principales,Índice Solvencia,17.02,17.02,17.02,
2015-08,financieros,Activos Improductivos / Patrimonio Neto,2.72,2.72,2.72,
2015-08,financieros,Activos Netos Totales / Patrimonio Neto,10.24,10.24,10.24,
2015-08,financieros,Margen de Intermediación Neto,9.76,9.76,9.76,
2015-08,financieros,Spread de Tasas de Interés,11.825925865120187,11.825925865120187,11.825925865120187,
2015-08,morosidad,Morosidad Estresada,3.7742467102829127,0.0,12.293346984139825,2.8322007297598812
2015-08,morosidad,Morosidad Simple,1.91,1.91,1.91,
2015-08,principales,ROA,1.97,1.97,1.97,
2015-08,principales,ROE (Rentabilidad del Patrimonio),21.0,21.0,21.0,
2015-08,principales,Índice Solvencia,16.94,16.94,16.94,
2015-09,financieros,Activos Improductivos / Patrimonio Neto,2.64,2.64,2.64,
2015-09,financieros,Activos Netos Totales / Patrimonio Neto,10.19,10.19,10.19,
2015-09,financieros,Margen de Intermediación Neto,9.73,9.73,9.73,
2015-09,financieros,Spread de Tasas de Interés,11.62930466167269,11.62930466167269,11.62930466167269,
2015-09,morosidad,Morosidad Estresada,3.9360584444008544,0.0,15.006642103624825,3.3500497732890606
2015-09,morosidad,Morosidad Simple,1.88,1.88,1.88,
2015-09,principales,ROA,1.96,1.96,1.96,
2015-09,principales,ROE (Rentabilidad del Patrimonio),20.84,20.84,20.84,
2015-09,principales,Índice Solvencia,17.18,17.18,17.18,
2015-10,financieros,Activos Improductivos / Patrimonio Neto,2.5,2.5,2.5,
2015-10,financieros,Activos Netos Totales / Patrimonio Neto,10.12,10.12,10.12,
2015-10,financieros,Margen de Intermediación Neto,9.7,9.7,9.7,
2015-10,financieros,Spread de Tasas de Interés,11.54845627158484,11.54845627158484,11.54845627158484,
2015-10,morosidad,Morosidad Estresada,4.083586308188257,0.0,16.625174854603845,3.650610816932218
2015-10,morosidad,Morosidad Simple,1.91,1.91,1.91,
2015-10,principales,ROA,1.92,1.92,1.92,
2015-10,principales,ROE (Rentabilidad del Patrimonio),20.45,20.45,20.45,
2015-10,principales,Índice Solvencia,16.19,16.19,16.19,
2015-11,financieros,Activos Improductivos / Patrimonio Neto,2.48,2.48,2.48,
2015-11,financieros,Activos Netos Totales / Patrimonio Neto,10.16,10.16,10.16,
2015-11,financieros,Margen de Intermediación Neto,9.6,9.6,9.6,
2015-11,financieros,Spread de Tasas de Interés,11.65800809359969,11.65800809359969,11.65800809359969,
2015-11,morosidad,Morosidad Estresada,4.093374269079411,0.0,17.890765997803044,3.8826765274684956
2015-11,morosidad,Morosidad Simple,2.02,2.02,2.02,
2015-11,principales,ROA,1.89,1.89,1.89,
2015-11,principales,ROE (Rentabilidad del Patrimonio),20.01,20.01,20.01,
2015-11,principales,Índice Solvencia,16.23,16.23,16.23,
2015-12,financieros,Activos Improductivos / Patrimonio Neto,2.63,2.63,2.63,
2015-12,financieros,Activos Netos Totales / Patrimonio Neto,10.25,10.25,10.25,
2015-12,financieros,Margen de Intermediación Neto,9.58,9.58,9.58,
2015-12,financieros,Spread de Tasas de Interés,11.642286658046878,11.642286658046878,11.642286658046878,
2015-12,morosidad,Morosidad Estresada,3.7271266221489494,0.0,16.020447069189842,3.503029969925086
2015-12,morosidad,Morosidad Simple,1.86,1.86,1.86,
2015-12,principales,ROA,1.85,1.85,1.85,
2015-12,principales,ROE (Rentabilidad del Patrimonio),19.56,19.56,19.56,
2015-12,principales,Índice Solvencia,15.97,15.97,15.97,
2016-01,financieros,Activos Improductivos / Patrimonio Neto,2.57,2.57,2.57,
2016-01,financieros,Activos Netos Totales / Patrimonio Neto,10.15,10.15,10.15,
2016-01,financieros,Margen de Intermediación Neto,9.09,9.09,9.09,
2016-01,financieros,Spread de Tasas de Interés,11.51397428282221,11.51397428282221,11.51397428282221,
2016-01,morosidad,Morosidad Estresada,3.7354104769504852,0.0,12.086409947895104,2.8102303931779806
2016-01,morosidad,Morosidad Simple,2.06,2.06,2.06,
2016-01,principales,ROA,1.62,1.62,1.62,
2016-01,principales,ROE (Rentabilidad del Patrimonio),16.74,16.74,16.74,
2016-01,principales,Índice Solvencia,16.61,16.61,16.61,
2016-02,financieros,Activos Improductivos / Patrimonio Neto,2.54,2.54,2.54,
2016-02,financieros,Activos Netos Totales / Patrimonio Neto,10.0,10.0,10.0,
2016-02,financieros,Margen de Intermediación Neto,9.26,9.26,9.26,
2016-02,financieros,Spread de Tasas de Interés,11.609039848493914,11.609039848493914,11.609039848493914,
2016-02,morosidad,Morosidad Estresada,3.552647433360858,0.0,7.69131351249986,2.1775569489389888
2016-02,morosidad,Morosidad Simple,2.08,2.08,2.08,
2016-02,principales,ROA,1.7,1.7,1.7,
2016-02,principales,ROE (Rentabilidad del Patrimonio),17.51,17.51,17.51,
2016-02,principales,Índice Solvencia,16.59,16.59,16.59,
2016-03,financieros,Activos Improductivos / Patrimonio Neto,2.57,2.57,2.57,
2016-03,financieros,Activos Netos Totales / Patrimonio Neto,10.04,10.04,10.04,
2016-03,financieros,Margen de Intermediación Neto,9.38,9.38,9.38,
2016-03,financieros,Spread de Tasas de Interés,11.648379887267224,11.648379887267224,11.648379887267224,
2016-03,morosidad,Morosidad Estresada,3.437632294130776,0.0,6.96885455870483,2.1033192077175844
2016-03,morosidad,Morosidad Simple,1.91,1.91,1.91,
2016-03,principales,ROA,1.78,1.78,1.78,
2016-03,principales,ROE (Rentabilidad del Patrimonio),18.26,18.26,18.26,
2016-03,principales,Índice Solvencia,17.54,17.54,17.54,
2016-04,financieros,Activos Improductivos / Patrimonio Neto,2.73,2.73,2.73,
2016-04,financieros,Activos Netos Totales / Patrimonio Neto,10.38,10.38,10.38,
2016-04,financieros,Margen de Intermediación Neto,9.32,9.32,9.32,
2016-04,financieros,Spread de Tasas de Interés,11.756860318269682,11.756860318269682,11.756860318269682,
2016-04,morosidad,Morosidad Estresada,3.495077099686297,0.0,7.114219562725423,1.9848363422695936
2016-04,morosidad,Morosidad Simple,1.91,1.91,1.91,
2016-04,principales,ROA,1.8,1.8,1.8,
2016-04,principales,ROE (Rentabilidad del Patrimonio),18.65,18.65,18.65,
2016-04,principales,Índice Solvencia,17.19,17.19,17.19,
2016-05,financieros,Activos Improductivos / Patrimonio Neto,2.7,2.7,2.7,
2016-05,financieros,Activos Netos Totales / Patrimonio Neto,10.19,10.19,10.19,
2016-05,financieros,Margen de Intermediación Neto,9.45,9.45,9.45,
2016-05,financieros,Spread de Tasas de Interés,11.803038434205973,11.803038434205973,11.803038434205973,
2016-05,morosidad,Morosidad Estresada,3.6435055081336873,0.0,7.119342073154803,1.9859860333762867
2016-05,morosidad,Morosidad Simple,2.03,2.03,2.03,
2016-05,principales,ROA,1.8,1.8,1.8,
2016-05,principales,ROE (Rentabilidad del Patrimonio),18.74,18.74,18.74,
2016-05,principales,Índice Solvencia,17.34,17.34,17.34,
2016-06,financieros,Activos Improductivos / Patrimonio Neto,2.52,2.52,2.52,
2016-06,financieros,Activos Netos Totales / Patrimonio Neto,10.17,10.17,10.17,
2016-06,financieros,Margen de Intermediación Neto,9.51,9.51,9.51,
2016-06,financieros,Spread de Tasas de Interés,11.828751860654638,11.828751860654638,11.828751860654638,
2016-06,morosidad,Morosidad Estresada,3.4207564036514224,0.0,7.738460506394388,1.9151654445613628
2016-06,morosidad,Morosidad Simple,1.9,1.9,1.9,
2016-06,principales,ROA,1.81,1.81,1.81,
2016-06,principales,ROE (Rentabilidad del Patrimonio),18.89,18.89,18.89,
2016-06,principales,Índice Solvencia,17.14,17.14,17.14,
2016-07,financieros,Activos Improductivos / Patrimonio Neto,2.77,2.77,2.77,
2016-07,financieros,Activos Netos Totales / Patrimonio Neto,10.11,10.11,10.11,
2016-07,financieros,Margen de Intermediación Neto,9.58,9.58,9.58,
2016-07,financieros,Spread de Tasas de Interés,11.894270482531898,11.894270482531898,11.894270482531898,
2016-07,morosidad,Morosidad Estresada,3.4823727297408222,0.0,7.043016446157821,1.9026200513046172
2016-07,morosidad,Morosidad Simple,1.97,1.97,1.97,
2016-07,principales,ROA,1.81,1.81,1.81,
2016-07,principales,ROE (Rentabilidad del Patrimonio),18.82,18.82,18.82,
2016-07,principales,Índice Solvencia,17.18,17.18,17.18,
2016-08,financieros,Activos Improductivos / Patrimonio Neto,2.77,2.77,2.77,
2016-08,financieros,Activos Netos Totales / Patrimonio Neto,10.04,10.04,10.04,
2016-08,financieros,Margen de Intermediación Neto,9.51,9.51,9.51,
2016-08,financieros,Spread de Tasas de Interés,11.847088694234367,11.847088694234367,11.847088694234367,
2016-08,morosidad,Morosidad Estresada,6.118396198252061,0.0,50.88971405615046,10.99643155865771
2016-08,morosidad,Morosidad Simple,1.98,1.98,1.98,
2016-08,principales,ROA,1.81,1.81,1.81,
2016-08,principales,ROE (Rentabilidad del Patrimonio),18.82,18.82,18.82,
2016-08,principales,Índice Solvencia,16.98,16.98,16.98,
2016-09,financieros,Activos Improductivos / Patrimonio Neto,2.66,2.66,2.66,
2016-09,financieros,Activos Netos Totales / Patrimonio Neto,9.86,9.86,9.86,
2016-09,financieros,Margen de Intermediación Neto,9.46,9.46,9.46,
2016-09,financieros,Spread de Tasas de Interés,11.81269906205634,11.81269906205634,11.81269906205634,
2016-09,morosidad,Morosidad Estresada,5.487387871570576,0.0,35.27901555285563,7.579101581757939
2016-09,morosidad,Morosidad Simple,2.01,2.01,2.01,
2016-09,principales,ROA,1.81,1.81,1.81,
2016-09,principales,ROE (Rentabilidad del Patrimonio),18.68,18.68,18.68,
2016-09,principales,Índice Solvencia,16.9,16.9,16.9,
2016-10,financieros,Activos Improductivos / Patrimonio Neto,2.49,2.49,2.49,
2016-10,financieros,Activos Netos Totales / Patrimonio Neto,9.94,9.94,9.94,
2016-10,financieros,Margen de Intermediación Neto,9.36,9.36,9.36,
2016-10,financieros,Spread de Tasas de Interés,11.703840856290643,11.703840856290643,11.703840856290643,
2016-10,morosidad,Morosidad Estresada,5.68401362060863,0.0,33.658193099148384,7.312138020411242
2016-10,morosidad,Morosidad Simple,2.09,2.09,2.09,
2016-10,principales,ROA,1.79,1.79,1.79,
2016-10,principales,ROE (Rentabilidad del Patrimonio),18.4,18.4,18.4,
2016-10,principales,Índice Solvencia,16.46,16.46,16.46,
2016-11,financieros,Activos Improductivos / Patrimonio Neto,2.4,2.4,2.4,
2016-11,financieros,Activos Netos Totales / Patrimonio Neto,9.89,9.89,9.89,
2016-11,financieros,Margen de Intermediación Neto,9.27,9.27,9.27,
2016-11,financieros,Spread de Tasas de Interés,11.738048072704576,11.738048072704576,11.738048072704576,
2016-11,morosidad,Morosidad Estresada,5.578398922325796,0.0,35.32001443865154,7.643018604758419
2016-11,morosidad,Morosidad Simple,2.06,2.06,2.06,
2016-11,principales,ROA,1.76,1.76,1.76,
2016-11,principales,ROE (Rentabilidad del Patrimonio),18.05,18.05,18.05,
2016-11,principales,Índice Solvencia,16.89,16.89,16.89,
2016-12,financieros,Activos Improductivos / Patrimonio Neto,2.52,2.52,2.52,
2016-12,financieros,Activos Netos Totales / Patrimonio Neto,9.99,9.99,9.99,
2016-12,financieros,Margen de Intermediación Neto,9.21,9.21,9.21,
2016-12,financieros,Spread de Tasas de Interés,11.617246040282877,11.617246040282877,11.617246040282877,
2016-12,morosidad,Morosidad Estresada,5.181685621242309,0.0,31.440104657936764,6.844115511675176
2016-12,morosidad,Morosidad Simple,1.86,1.86,1.86,
2016-12,principales,ROA,1.77,1.77,1.77,
2016-12,principales,ROE (Rentabilidad del Patrimonio),18.28,18.28,18.28,
2016-12,principales,Índice Solvencia,17.18,17.18,17.18,
2017-01,financieros,Activos Improductivos / Patrimonio Neto,2.51,2.51,2.51,
2017-01,financieros,Activos Netos Totales / Patrimonio Neto,9.78,9.78,9.78,
2017-01,financieros,Margen de Intermediación Neto,8.66,8.66,8.66,
2017-01,financieros,Spread de Tasas de Interés,11.58767094137049,11.58767094137049,11.58767094137049,
2017-01,morosidad,Morosidad Estresada,5.731296107322905,0.0,30.84273128342006,6.751981754072127
2017-01,morosidad,Morosidad Simple,2.12,2.12,2.12,
2017-01,principales,ROA,1.68,1.68,1.68,
2017-01,principales,ROE (Rentabilidad del Patrimonio),16.06,16.06,16.06,
2017-01,principales,Índice Solvencia,17.57,17.57,17.57,
2017-02,financieros,Activos Improductivos / Patrimonio Neto,2.52,2.52,2.52,
2017-02,financieros,Activos Netos Totales / Patrimonio Neto,9.7,9.7,9.7,
2017-02,financieros,Margen de Intermediación Neto,8.71,8.71,8.71,
2017-02,financieros,Spread de Tasas de Interés,11.52644895500588,11.52644895500588,11.52644895500588,
2017-02,morosidad,Morosidad Estresada,4.678674273319595,0.0,12.727363887802646,3.34349615846955
2017-02,morosidad,Morosidad Simple,2.17,2.17,2.17,
2017-02,principales,ROA,1.65,1.65,1.65,
2017-02,principales,ROE (Rentabilidad del Patrimonio),16.35,16.35,16.35,
2017-02,principales,Índice Solvencia,17.68,17.68,17.68,
2017-03,financieros,Activos Improductivos / Patrimonio Neto,2.45,2.45,2.45,
2017-03,financieros,Activos Netos Totales / Patrimonio Neto,9.71,9.71,9.71,
2017-03,financieros,Margen de Intermediación Neto,8.93,8.93,8.93,
2017-03,financieros,Spread de Tasas de Interés,11.543806280929726,11.543806280929726,11.543806280929726,
2017-03,morosidad,Morosidad Estresada,4.361298580614885,0.0,9.073607081966232,2.6447178242895513
2017-03,morosidad,Morosidad Simple,2.15,2.15,2.15,
2017-03,principales,ROA,1.71,1.71,1.71,
2017-03,principales,ROE (Rentabilidad del Patrimonio),16.95,16.95,16.95,
2017-03,principales,Índice Solvencia,17.9,17.9,17.9,
2017-04,financieros,Activos Improductivos / Patrimonio Neto,2.54,2.54,2.54,
2017-04,financieros,Activos Netos Totales / Patrimonio Neto,9.94,9.94,9.94,
2017-04,financieros,Margen de Intermediación Neto,8.96,8.96,8.96,
2017-04,financieros,Spread de Tasas de Interés,11.75037146678524,11.75037146678524,11.75037146678524,
2017-04,morosidad,Morosidad Estresada,4.42124398778558,0.0,8.600693791308775,2.5496844739624143
2017-04,morosidad,Morosidad Simple,2.22,2.22,2.22,
2017-04,principales,ROA,1.67,1.67,1.67,
2017-04,principales,ROE (Rentabilidad del Patrimonio),16.54,16.54,16.54,
2017-04,principales,Índice Solvencia,17.85,17.85,17.85,
2017-05,financieros,Activos Improductivos / Patrimonio Neto,2.44,2.44,2.44,
2017-05,financieros,Activos Netos Totales / Patrimonio Neto,9.75,9.75,9.75,
2017-05,financieros,Margen de Intermediación Neto,9.05,9.05,9.05,
2017-05,financieros,Spread de Tasas de Interés,11.761662999959391,11.761662999959391,11.761662999959391,
2017-05,morosidad,Morosidad Estresada,4.785797389857334,0.0035168603648162117,8.851364008589616,2.4964446691648003
2017-05,morosidad,Morosidad Simple,2.32,2.32,2.32,
2017-05,principales,ROA,1.67,1.67,1.67,
2017-05,principales,ROE (Rentabilidad del Patrimonio),16.61,16.61,16.61,
2017-05,principales,Índice Solvencia,17.8,17.8,17.8,
2017-06,financieros,Activos Improductivos / Patrimonio Neto,2.41,2.41,2.41,
2017-06,financieros,Activos Netos Totales / Patrimonio Neto,9.85,9.85,9.85,
2017-06,financieros,Margen de Intermediación Neto,9.01,9.01,9.01,
2017-06,financieros,Spread de Tasas de Interés,11.703383515300816,11.703383515300816,11.703383515300816,
2017-06,morosidad,Morosidad Estresada,4.466610987368843,0.0,10.376257288998197,2.9228225444869005
2017-06,morosidad,Morosidad Simple,2.2,2.2,2.2,
2017-06,principales,ROA,1.65,1.65,1.65,
2017-06,principales,ROE (Rentabilidad del Patrimonio),16.59,16.59,16.59,
2017-06,principales,Índice Solvencia,18.45,18.45,18.45,
2017-07,financieros,Activos Improductivos / Patrimonio Neto,2.41,2.41,2.41,
2017-07,financieros,Activos Netos Totales / Patrimonio Neto,9.75,9.75,9.75,
2017-07,financieros,Margen de Intermediación Neto,9.01,9.01,9.01,
2017-07,financieros,Spread de Tasas de Interés,11.822051678873885,11.822051678873885,11.822051678873885,
2017-07,morosidad,Morosidad Estresada,4.3948591499533185,0.0,8.349579858529465,2.6710019909637026
2017-07,morosidad,Morosidad Simple,2.25,2.25,2.25,
2017-07,principales,ROA,1.63,1.63,1.63,
2017-07,principales,ROE (Rentabilidad del Patrimonio),16.46,16.46,16.46,
2017-07,principales,Índice Solvencia,18.56,18.56,18.56,
2017-08,financieros,Activos Improductivos / Patrimonio Neto,2.3,2.3,2.3,
2017-08,financieros,Activos Netos Totales / Patrimonio Neto,9.7,9.7,9.7,
2017-08,financieros,Margen de Intermediación Neto,9.05,9.05,9.05,
2017-08,financieros,Spread de Tasas de Interés,11.796721850528186,11.796721850528186,11.796721850528186,
2017-08,morosidad,Morosidad Estresada,4.304807238938485,0.0,7.919310975718767,2.5527393700560066
2017-08,morosidad,Morosidad Simple,2.31,2.31,2.31,
2017-08,principales,ROA,1.66,1.66,1.66,
2017-08,principales,ROE (Rentabilidad del Patrimonio),16.75,16.75,16.75,
2017-08,principales,Índice Solvencia,18.54,18.54,18.54,
2017-09,financieros,Activos Improductivos / Patrimonio Neto,2.36,2.36,2.36,
2017-09,financieros,Activos Netos Totales / Patrimonio Neto,9.76,9.76,9.76,
2017-09,financieros,Margen de Intermediación Neto,9.01,9.01,9.01,
2017-09,financieros,Spread de Tasas de Interés,11.639763696228272,11.639763696228272,11.639763696228272,
2017-09,morosidad,Morosidad Estresada,4.3836681489662315,0.0,8.392412406529655,2.6795142015465503
2017-09,morosidad,Morosidad Simple,2.34,2.34,2.34,
2017-09,principales,ROA,1.62,1.62,1.62,
2017-09,principales,ROE (Rentabilidad del Patrimonio),16.5,16.5,16.5,
