periodo,componente,promedio,minimo,maximo,entidades
2025-12,Índice de solvencia,15.79,15.79,15.79,1
2025-12,Sobrante o faltante,142896.02,142896.02,142896.02,1
2025-12,Patrimonio técnico ajustado,389810.96,389810.96,389810.96,1
2025-12,Capital secundario,68032.52,68032.52,68032.52,1
2025-12,Capital requerido por riesgo de mercado,145949.23,145949.23,145949.23,1
2025-12,Capital primario,325036.46,325036.46,325036.46,1
2025-12,Ajuste,-3258.03,-3258.03,-3258.03,1
2025-12,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2469149.38,2469149.38,2469149.38,1
2025-12,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2323200.15,2323200.15,2323200.15,1
2025-11,Capital requerido por riesgo de mercado,157922.83,157922.83,157922.83,1
2025-11,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2334467.5,2334467.5,2334467.5,1
2025-11,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2492390.33,2492390.33,2492390.33,1
2025-11,Ajuste,-3213.93,-3213.93,-3213.93,1
2025-11,Capital primario,324401.11,324401.11,324401.11,1
2025-11,Sobrante o faltante,133074.52,133074.52,133074.52,1
2025-11,Capital secundario,61126.37,61126.37,61126.37,1
2025-11,Patrimonio técnico ajustado,382313.55,382313.55,382313.55,1
2025-11,Índice de solvencia,15.34,15.34,15.34,1
2025-10,Capital requerido por riesgo de mercado,174381.17,174381.17,174381.17,1
2025-10,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2330805.92,2330805.92,2330805.92,1
2025-10,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2505187.09,2505187.09,2505187.09,1
2025-10,Ajuste,-3158.63,-3158.63,-3158.63,1
2025-10,Capital primario,324401.11,324401.11,324401.11,1
2025-10,Sobrante o faltante,133088.94,133088.94,133088.94,1
2025-10,Capital secundario,62365.16,62365.16,62365.16,1
2025-10,Patrimonio técnico ajustado,383607.65,383607.65,383607.65,1
2025-10,Índice de solvencia,15.31,15.31,15.31,1
2025-09,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2288730.02,2288730.02,2288730.02,1
2025-09,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2452376.44,2452376.44,2452376.44,1
2025-09,Ajuste,-3090.78,-3090.78,-3090.78,1
2025-09,Capital primario,320169.41,320169.41,320169.41,1
2025-09,Capital requerido por riesgo de mercado,163646.42,163646.42,163646.42,1
2025-09,Capital secundario,62562.46,62562.46,62562.46,1
2025-09,Patrimonio técnico ajustado,379641.08,379641.08,379641.08,1
2025-09,Sobrante o faltante,134403.44,134403.44,134403.44,1
2025-09,Índice de solvencia,15.48,15.48,15.48,1
2025-08,Capital requerido por riesgo de mercado,164376.92,164376.92,164376.92,1
2025-08,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2284790.57,2284790.57,2284790.57,1
2025-08,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2449167.49,2449167.49,2449167.49,1
2025-08,Ajuste,-3046.43,-3046.43,-3046.43,1
2025-08,Capital primario,320145.04,320145.04,320145.04,1
2025-08,Sobrante o faltante,134808.64,134808.64,134808.64,1
2025-08,Capital secundario,62626.78,62626.78,62626.78,1
2025-08,Patrimonio técnico ajustado,379725.39,379725.39,379725.39,1
2025-08,Índice de solvencia,15.5,15.5,15.5,1
2025-07,Índice de solvencia,15.88,15.88,15.88,1
2025-07,Sobrante o faltante,141250.69,141250.69,141250.69,1
2025-07,Patrimonio técnico ajustado,381327.01,381327.01,381327.01,1
2025-07,Capital secundario,64422.67,64422.67,64422.67,1
2025-07,Capital requerido por riesgo de mercado,156858.97,156858.97,156858.97,1
2025-07,Capital primario,319947.57,319947.57,319947.57,1
2025-07,Ajuste,-3043.23,-3043.23,-3043.23,1
2025-07,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2400763.24,2400763.24,2400763.24,1
2025-07,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2243904.27,2243904.27,2243904.27,1
2025-06,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2091812.87,2091812.87,2091812.87,1
2025-06,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2285229.66,2285229.66,2285229.66,1
2025-06,Ajuste,-2973.85,-2973.85,-2973.85,1
2025-06,Capital primario,319842.1,319842.1,319842.1,1
2025-06,Capital requerido por riesgo de mercado,193416.79,193416.79,193416.79,1
2025-06,Capital secundario,64279.91,64279.91,64279.91,1
2025-06,Patrimonio técnico ajustado,381148.16,381148.16,381148.16,1
2025-06,Sobrante o faltante,152625.2,152625.2,152625.2,1
2025-06,Índice de solvencia,16.68,16.68,16.68,1
2025-05,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2064481.41,2064481.41,2064481.41,1
2025-05,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2282498.81,2282498.81,2282498.81,1
2025-05,Ajuste,-2925.88,-2925.88,-2925.88,1
2025-05,Capital primario,319447.65,319447.65,319447.65,1
2025-05,Capital requerido por riesgo de mercado,218017.4,218017.4,218017.4,1
2025-05,Capital secundario,64306.86,64306.86,64306.86,1
2025-05,Patrimonio técnico ajustado,380828.63,380828.63,380828.63,1
2025-05,Sobrante o faltante,152578.75,152578.75,152578.75,1
2025-05,Índice de solvencia,16.68,16.68,16.68,1
2025-04,Capital requerido por riesgo de mercado,200578.83,200578.83,200578.83,1
2025-04,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2053715.58,2053715.58,2053715.58,1
2025-04,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2254294.41,2254294.41,2254294.41,1
2025-04,Ajuste,-2807.23,-2807.23,-2807.23,1
2025-04,Capital primario,312859.63,312859.63,312859.63,1
2025-04,Sobrante o faltante,148679.87,148679.87,148679.87,1
2025-04,Capital secundario,64056.91,64056.91,64056.91,1
2025-04,Patrimonio técnico ajustado,374109.31,374109.31,374109.31,1
2025-04,Índice de solvencia,16.6,16.6,16.6,1
2025-03,Índice de solvencia,16.54,16.54,16.54,1
2025-03,Sobrante o faltante,147944.96,147944.96,147944.96,1
2025-03,Patrimonio técnico ajustado,374326.64,374326.64,374326.64,1
2025-03,Capital secundario,64455.86,64455.86,64455.86,1
2025-03,Capital requerido por riesgo de mercado,193793.59,193793.59,193793.59,1
2025-03,Capital primario,312613.35,312613.35,312613.35,1
2025-03,Ajuste,-2742.58,-2742.58,-2742.58,1
2025-03,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2263816.84,2263816.84,2263816.84,1
2025-03,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2070023.26,2070023.26,2070023.26,1
2025-02,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2053719.37,2053719.37,2053719.37,1
2025-02,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2246517.64,2246517.64,2246517.64,1
2025-02,Ajuste,-2688.21,-2688.21,-2688.21,1
2025-02,Capital primario,297293.48,297293.48,297293.48,1
2025-02,Capital requerido por riesgo de mercado,192798.27,192798.27,192798.27,1
2025-02,Capital secundario,64417.04,64417.04,64417.04,1
2025-02,Sobrante o faltante,134370.55,134370.55,134370.55,1
2025-02,Índice de solvencia,15.98,15.98,15.98,1
2025-02,Patrimonio técnico ajustado,359022.31,359022.31,359022.31,1
2025-01,Capital requerido por riesgo de mercado,161746.03,161746.03,161746.03,1
2025-01,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2027979.42,2027979.42,2027979.42,1
2025-01,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2189725.44,2189725.44,2189725.44,1
2025-01,Ajuste,-1580.04,-1580.04,-1580.04,1
2025-01,Capital primario,296498.35,296498.35,296498.35,1
2025-01,Capital secundario,64764.27,64764.27,64764.27,1
2025-01,Patrimonio técnico ajustado,359682.58,359682.58,359682.58,1
2025-01,Sobrante o faltante,140710.03,140710.03,140710.03,1
2025-01,Índice de solvencia,16.43,16.43,16.43,1
2024-12,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2016490.79,2016490.79,2016490.79,1
2024-12,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2180394.36,2180394.36,2180394.36,1
2024-12,Ajuste,-2532.43,-2532.43,-2532.43,1
2024-12,Capital primario,285764.6,285764.6,285764.6,1
2024-12,Capital requerido por riesgo de mercado,163903.57,163903.57,163903.57,1
2024-12,Capital secundario,64730.28,64730.28,64730.28,1
2024-12,Sobrante o faltante,129923.01,129923.01,129923.01,1
2024-12,Índice de solvencia,15.96,15.96,15.96,1
2024-12,Patrimonio técnico ajustado,347962.45,347962.45,347962.45,1
2024-11,Capital requerido por riesgo de mercado,171273.87,171273.87,171273.87,1
2024-11,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2045096.15,2045096.15,2045096.15,1
2024-11,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2216370.03,2216370.03,2216370.03,1
2024-11,Ajuste,-2233.48,-2233.48,-2233.48,1
2024-11,Capital primario,285764.6,285764.6,285764.6,1
2024-11,Capital secundario,67808.1,67808.1,67808.1,1
2024-11,Patrimonio técnico ajustado,351339.21,351339.21,351339.21,1
2024-11,Sobrante o faltante,129702.21,129702.21,129702.21,1
2024-11,Índice de solvencia,15.85,15.85,15.85,1
2024-10,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,2007183.58,2007183.58,2007183.58,1
2024-10,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2195620.4,2195620.4,2195620.4,1
2024-10,Ajuste,-3207.46,-3207.46,-3207.46,1
2024-10,Capital primario,285764.6,285764.6,285764.6,1
2024-10,Capital requerido por riesgo de mercado,188436.82,188436.82,188436.82,1
2024-10,Capital secundario,69027.21,69027.21,69027.21,1
2024-10,Patrimonio técnico ajustado,351584.34,351584.34,351584.34,1
2024-10,Sobrante o faltante,132022.3,132022.3,132022.3,1
2024-10,Índice de solvencia,16.01,16.01,16.01,1
2024-09,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1978556.51,1978556.51,1978556.51,1
2024-09,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2146856.75,2146856.75,2146856.75,1
2024-09,Ajuste,-2133.59,-2133.59,-2133.59,1
2024-09,Capital primario,285689.6,285689.6,285689.6,1
2024-09,Capital requerido por riesgo de mercado,168300.24,168300.24,168300.24,1
2024-09,Capital secundario,58665.52,58665.52,58665.52,1
2024-09,Patrimonio técnico ajustado,342221.52,342221.52,342221.52,1
2024-09,Sobrante o faltante,127535.85,127535.85,127535.85,1
2024-09,Índice de solvencia,15.94,15.94,15.94,1
2024-08,Capital requerido por riesgo de mercado,176486.19,176486.19,176486.19,1
2024-08,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1969358.63,1969358.63,1969358.63,1
2024-08,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2145844.81,2145844.81,2145844.81,1
2024-08,Ajuste,-2080.99,-2080.99,-2080.99,1
2024-08,Capital primario,285493.74,285493.74,285493.74,1
2024-08,Sobrante o faltante,127458.05,127458.05,127458.05,1
2024-08,Capital secundario,58629.78,58629.78,58629.78,1
2024-08,Patrimonio técnico ajustado,342042.54,342042.54,342042.54,1
2024-08,Índice de solvencia,15.94,15.94,15.94,1
2024-07,Índice de solvencia,16.08,16.08,16.08,1
2024-07,Sobrante o faltante,129761.61,129761.61,129761.61,1
2024-07,Patrimonio técnico ajustado,343161.83,343161.83,343161.83,1
2024-07,Capital secundario,59702.49,59702.49,59702.49,1
2024-07,Capital requerido por riesgo de mercado,190881.38,190881.38,190881.38,1
2024-07,Capital primario,285493.74,285493.74,285493.74,1
2024-07,Ajuste,-2034.4,-2034.4,-2034.4,1
2024-07,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2134002.19,2134002.19,2134002.19,1
2024-07,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1943120.81,1943120.81,1943120.81,1
2024-06,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1939005.55,1939005.55,1939005.55,1
2024-06,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2177792.86,2177792.86,2177792.86,1
2024-06,Ajuste,-1975.59,-1975.59,-1975.59,1
2024-06,Capital primario,284252.23,284252.23,284252.23,1
2024-06,Capital requerido por riesgo de mercado,238787.31,238787.31,238787.31,1
2024-06,Capital secundario,59655.63,59655.63,59655.63,1
2024-06,Sobrante o faltante,124152.99,124152.99,124152.99,1
2024-06,Índice de solvencia,15.7,15.7,15.7,1
2024-06,Patrimonio técnico ajustado,341932.27,341932.27,341932.27,1
2024-05,Capital requerido por riesgo de mercado,231859.64,231859.64,231859.64,1
2024-05,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1910038.29,1910038.29,1910038.29,1
2024-05,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2141897.93,2141897.93,2141897.93,1
2024-05,Ajuste,-1921.37,-1921.37,-1921.37,1
2024-05,Capital primario,283967.11,283967.11,283967.11,1
2024-05,Capital secundario,59731.12,59731.12,59731.12,1
2024-05,Patrimonio técnico ajustado,341776.85,341776.85,341776.85,1
2024-05,Sobrante o faltante,127587.06,127587.06,127587.06,1
2024-05,Índice de solvencia,15.96,15.96,15.96,1
2024-04,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1880421.29,1880421.29,1880421.29,1
2024-04,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2099827.27,2099827.27,2099827.27,1
2024-04,Ajuste,-1863.17,-1863.17,-1863.17,1
2024-04,Capital primario,283936.11,283936.11,283936.11,1
2024-04,Capital requerido por riesgo de mercado,219405.98,219405.98,219405.98,1
2024-04,Capital secundario,59605.05,59605.05,59605.05,1
2024-04,Índice de solvencia,16.27,16.27,16.27,1
2024-04,Patrimonio técnico ajustado,341677.99,341677.99,341677.99,1
2024-04,Sobrante o faltante,131695.26,131695.26,131695.26,1
2024-03,Índice de solvencia,16.11,16.11,16.11,1
2024-03,Sobrante o faltante,125555.93,125555.93,125555.93,1
2024-03,Patrimonio técnico ajustado,331150.81,331150.81,331150.81,1
2024-03,Capital secundario,51913.27,51913.27,51913.27,1
2024-03,Capital primario,280256.3,280256.3,280256.3,1
2024-03,Ajuste,-1018.75,-1018.75,-1018.75,1
2024-03,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2055948.81,2055948.81,2055948.81,1
2024-03,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1851571.06,1851571.06,1851571.06,1
2024-03,Capital requerido por riesgo de mercado,204377.74,204377.74,204377.74,1
2024-02,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1830182.57,1830182.57,1830182.57,1
2024-02,Capital requerido por riesgo de mercado,191379.93,191379.93,191379.93,1
2024-02,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2021562.5,2021562.5,2021562.5,1
2024-02,Ajuste,-959.84,-959.84,-959.84,1
2024-02,Capital primario,260866.93,260866.93,260866.93,1
2024-02,Capital secundario,51871.75,51871.75,51871.75,1
2024-02,Patrimonio técnico ajustado,311778.84,311778.84,311778.84,1
2024-02,Sobrante o faltante,109622.59,109622.59,109622.59,1
2024-02,Índice de solvencia,15.42,15.42,15.42,1
2024-01,Índice de solvencia,15.14,15.14,15.14,1
2024-01,Sobrante o faltante,105958.2,105958.2,105958.2,1
2024-01,Patrimonio técnico ajustado,312207.9,312207.9,312207.9,1
2024-01,Capital secundario,52269.12,52269.12,52269.12,1
2024-01,Capital requerido por riesgo de mercado,244779.98,244779.98,244779.98,1
2024-01,Capital primario,260821.36,260821.36,260821.36,1
2024-01,Ajuste,-882.59,-882.59,-882.59,1
2024-01,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2062497.0,2062497.0,2062497.0,1
2024-01,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1817717.03,1817717.03,1817717.03,1
2023-12,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1786216.63,1786216.63,1786216.63,1
2023-12,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2012377.07,2012377.07,2012377.07,1
2023-12,Ajuste,-466.1,-466.1,-466.1,1
2023-12,Capital primario,242484.89,242484.89,242484.89,1
2023-12,Capital requerido por riesgo de mercado,226160.44,226160.44,226160.44,1
2023-12,Capital secundario,54163.27,54163.27,54163.27,1
2023-12,Índice de solvencia,14.72,14.72,14.72,1
2023-12,Patrimonio técnico ajustado,296182.05,296182.05,296182.05,1
2023-12,Sobrante o faltante,94944.35,94944.35,94944.35,1
2023-11,Índice de solvencia,14.57,14.57,14.57,1
2023-11,Sobrante o faltante,91851.96,91851.96,91851.96,1
2023-11,Patrimonio técnico ajustado,293040.17,293040.17,293040.17,1
2023-11,Capital secundario,51070.04,51070.04,51070.04,1
2023-11,Capital requerido por riesgo de mercado,239224.49,239224.49,239224.49,1
2023-11,Capital primario,242384.89,242384.89,242384.89,1
2023-11,Ajuste,-414.75,-414.75,-414.75,1
2023-11,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2011882.14,2011882.14,2011882.14,1
2023-11,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1772657.64,1772657.64,1772657.64,1
2023-10,Capital secundario,47221.65,47221.65,47221.65,1
2023-10,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1742819.73,1742819.73,1742819.73,1
2023-10,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2009126.05,2009126.05,2009126.05,1
2023-10,Ajuste,-591.0,-591.0,-591.0,1
2023-10,Capital primario,242102.31,242102.31,242102.31,1
2023-10,Capital requerido por riesgo de mercado,266306.32,266306.32,266306.32,1
2023-10,Patrimonio técnico ajustado,288732.96,288732.96,288732.96,1
2023-10,Sobrante o faltante,87820.36,87820.36,87820.36,1
2023-10,Índice de solvencia,14.37,14.37,14.37,1
2023-09,Capital primario,241552.31,241552.31,241552.31,1
2023-09,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1698584.44,1698584.44,1698584.44,1
2023-09,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1981358.18,1981358.18,1981358.18,1
2023-09,Ajuste,-625.58,-625.58,-625.58,1
2023-09,Capital requerido por riesgo de mercado,282773.74,282773.74,282773.74,1
2023-09,Capital secundario,47196.0,47196.0,47196.0,1
2023-09,Patrimonio técnico ajustado,288122.74,288122.74,288122.74,1
2023-09,Sobrante o faltante,89986.92,89986.92,89986.92,1
2023-09,Índice de solvencia,14.54,14.54,14.54,1
2023-08,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1666973.68,1666973.68,1666973.68,1
2023-08,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1914064.16,1914064.16,1914064.16,1
2023-08,Ajuste,-594.21,-594.21,-594.21,1
2023-08,Capital primario,241404.29,241404.29,241404.29,1
2023-08,Capital requerido por riesgo de mercado,247090.49,247090.49,247090.49,1
2023-08,Capital secundario,46911.1,46911.1,46911.1,1
2023-08,Patrimonio técnico ajustado,287721.17,287721.17,287721.17,1
2023-08,Sobrante o faltante,96314.76,96314.76,96314.76,1
2023-08,Índice de solvencia,15.03,15.03,15.03,1
2023-07,Índice de solvencia,15.09,15.09,15.09,1
2023-07,Sobrante o faltante,97435.6,97435.6,97435.6,1
2023-07,Patrimonio técnico ajustado,288763.83,288763.83,288763.83,1
2023-07,Capital secundario,47988.88,47988.88,47988.88,1
2023-07,Capital requerido por riesgo de mercado,253419.51,253419.51,253419.51,1
2023-07,Capital primario,241404.29,241404.29,241404.29,1
2023-07,Ajuste,-629.34,-629.34,-629.34,1
2023-07,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1913282.29,1913282.29,1913282.29,1
2023-07,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1659862.78,1659862.78,1659862.78,1
2023-06,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1616876.73,1616876.73,1616876.73,1
2023-06,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1826294.39,1826294.39,1826294.39,1
2023-06,Ajuste,-639.41,-639.41,-639.41,1
2023-06,Capital primario,240843.85,240843.85,240843.85,1
2023-06,Capital requerido por riesgo de mercado,209417.66,209417.66,209417.66,1
2023-06,Capital secundario,47959.39,47959.39,47959.39,1
2023-06,Sobrante o faltante,105534.39,105534.39,105534.39,1
2023-06,Índice de solvencia,15.78,15.78,15.78,1
2023-06,Patrimonio técnico ajustado,288163.83,288163.83,288163.83,1
2023-05,Capital requerido por riesgo de mercado,268124.94,268124.94,268124.94,1
2023-05,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1539331.75,1539331.75,1539331.75,1
2023-05,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1807456.69,1807456.69,1807456.69,1
2023-05,Ajuste,-645.94,-645.94,-645.94,1
2023-05,Capital primario,240349.71,240349.71,240349.71,1
2023-05,Capital secundario,47936.82,47936.82,47936.82,1
2023-05,Patrimonio técnico ajustado,287640.59,287640.59,287640.59,1
2023-05,Sobrante o faltante,106894.92,106894.92,106894.92,1
2023-05,Índice de solvencia,15.91,15.91,15.91,1
2023-04,Capital requerido por riesgo de mercado,268806.16,268806.16,268806.16,1
2023-04,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1514037.47,1514037.47,1514037.47,1
2023-04,Ajuste,-798.44,-798.44,-798.44,1
2023-04,Capital primario,237092.64,237092.64,237092.64,1
